key;ENGLISH;x
shiite_align_ourselves_with_umayyads_hna_desc;The muslim world is in a curious situation at the moment. There are three states proclaiming themselves as caliphates and the true leaders of Islam. While we cannot fully support either of the three states claims, given that none of them follows the true version of Islam, we have to recognize their dominant position in the muslim world. Still, one of them clearly holds a stronger claim to leading Islam than the others. Clearly this is the Umayyad Caliphate, the military bulwark of Islam, which pushed back the christian infidels and conquered Iberia through faith and steel. We should align our scholarly traditions with theirs and propagate a militarist interpretation of the quoran.;x;
shiite_align_ourselves_with_umayyads_ala_title;Alight ourselves with the Umayyad Caliphate;x;
shiite_align_ourselves_with_umayyads_ala_desc;The muslim world is in a curious situation at the moment. There are three states proclaiming themselves as caliphates and the true leaders of Islam. While we cannot fully support either of the three states claims, given that none of them follows the true version of Islam, we have to recognize their dominant position in the muslim world. Still, one of them clearly holds a stronger claim to leading Islam than the others. Clearly this is the Umayyad Caliphate, the military bulwark of Islam, which pushed back the christian infidels and conquered Iberia through faith and steel. We should align our scholarly traditions with theirs and propagate a militarist interpretation of the quoran.;x;
sunni_align_ourselves_with_mexicans_title;Align ourselves with the Mexican Caliphate;x;
sunni_align_ourselves_with_mexicans_desc;The muslim world is in a curious situation at the moment. There are three states proclaiming themselves as caliphates and the true leaders of Islam. Out of the three, the Mexican Caliphate, representative of modern Islam and a tradition of scholasticism unbound by religious dogma, clearly holds the strongest claim to the title of leader of Islam. We should align our scholarly traditions with theirs and propagate a liberal interpretation of the quoran.;x;
shiite_align_ourselves_with_mexicans_title;Align ourselves with the Mexican Caliphate;x;
shiite_align_ourselves_with_mexicans_desc;The muslim world is in a curious situation at the moment. There are three states proclaiming themselves as caliphates and the true leaders of Islam. While we cannot fully support either of the three states claims, given that none of them follows the true version of Islam, we have to recognize their dominant position in the muslim world. Still, one of them clearly holds a stronger claim to leading Islam than the others. Clearly this is the Mexican Caliphate, representative of modern Islam and a tradition of scholasticism unbound by religious dogma. We should align our scholarly traditions with theirs and propagate a liberal interpretation of the quoran.;x;
shiite_reject_the_caliphates_title;Reject the Caliphates!;x;
shiite_reject_the_caliphates_desc;For too long have the Sunnis dominated the muslim world and looked down upon us Shiites. They seem to not realize, that only our interpretation of Islam is the true one, while they merely follow a cheap knockoff, having been lead astray from the true path shown to us by the great prophet Muhammad! Now that the muslim world is in peril, with three separate Sunni Caliphates vying for dominance, our time has come! We must reject the Sunni caliphates and let the world know of their foolishness! The time for us shiites has come!;x;
change_our_alignment_mex_title;Change our Caliphate alignment;x;
change_our_alignment_mex_desc;It turns out our support for the Mexican Caliphate was misguided. They went too far with their liberal views and clearly have strayed away from the path of Muhammad. We shall no longer support their claim to lead Islam!;x;
change_our_alignment_uma_title;Change our Caliphate alignment;x;
change_our_alignment_uma_desc;It turns out our support for the Ummayad Caliphate was misguided. They went too far with their militarist views and clearly have strayed away from the path of Muhammad. We shall no longer support their claim to lead Islam!;x;
change_our_alignment_umahna_title;Change our Caliphate alignment;x;
change_our_alignment_umahna_desc;It turns out our support for the Ummayad Caliphate was misguided. They went too far with their militarist views and clearly have strayed away from the path of Muhammad. We shall no longer support their claim to lead Islam!;x;
change_our_alignment_ras_title;Change our Caliphate alignment;x;
change_our_alignment_ras_desc;It turns out our support for the Rashidun Caliphate was misguided. They went too far with their militarist views and clearly have strayed away from the path of Muhammad. We shall no longer support their claim to lead Islam!;x;
forge_a_new_caliphate_old_continent_title;Forge a shiite caliphate in the old world.;x;
forge_a_new_caliphate_old_continent_desc;Now that we, as a shiite power, have reached great power status, we should found our own caliphate and bring all muslims of the old world into our fold.;x;
accept_the_bedouins_shiite_cal_title;Accept the Bedouins;x;
accept_the_bedouins_shiite_cal_desc;We shall accept the Bedouin people and convert them to the true shiite faith!;x;
accept_the_egyptians_shiite_cal_title;Accept the Egyptians;x;
accept_the_egyptians_shiite_cal_desc;We shall accept the Egyptian people and convert them to the true shiite faith!;x;
accept_the_maghrebis_shiite_cal_title;Accept the Maghrebis;x;
accept_the_maghrebis_shiite_cal_desc;We shall accept the Maghrebi people and convert them to the true shiite faith!;x;
forge_a_new_caliphate_old_continent_PER_title;Forge a shiite caliphate in the old world.;x;
forge_a_new_caliphate_old_continent_PER__desc;Now that we, as a shiite power, have reached great power status, we should found our own caliphate and bring all muslims of the old world into our fold.;x;
forge_a_new_caliphate_new_world_title;Forge a shiite caliphate in the new world.;x;
forge_a_new_caliphate_new_world_desc;Now that we, as a shiite power, have reached great power status, we should found our own caliphate! We should found it in the new world to signify this new age of islam that we shall usher in!;x;
forge_a_new_caliphate_new_world_PER_title;Forge a shiite caliphate in the new world.;x;
forge_a_new_caliphate_new_world_PER_desc;Now that we, as a shiite power, have reached great power status, we should found our own caliphate! We should found it in the new world to signify this new age of islam that we shall usher in!;x;
