key;ENGLISH;x
101228D;The Revolution has triumphed! All the loyalists of the old order have been crushed and we are now in control of the entire nation. The dream of a free and equal nation is now within our reach. All that is left to do is for us to seize it!;x;
101229D;The Revolution has triumphed! All those loyal to the King and West Francia have been crushed and we are now in control of the nation. The dream of a free and equal republic is now within our reach. All that is left to do is for us to seize it!;x;
101229D;The Revolution has triumphed! All those loyal to the King and East Francia have been crushed and we are now in control of the nation. The dream of a free and equal republic is now within our reach. All that is left to do is for us to seize it!;x;
101233D;The Revolution has been crushed! All those loyal or supportive of the revolution have been put in chains or put to death. We remain here, one nation, undivided under God and our King. Long live the King!;x;
101236D;Representatives from all over the nation have gathered in Brussels to partake in the drafting of the new constitution. The Dictatorship that was neccesary to protect the revolution from reactionary forces has served it's purpose excellently, but we no longer have a need for it. It is being dismantled in favor of a new government, formed on the basis of democracy, liberty and equality. The convention features people holding a variety of views, nationalists and federalists, liberals and moderate conservatives, monarchists and republicans. There are three major factions present at the convention, these being:\n§GThe Federalists§! who wish to form a new federal basis for our nation with self determination for large parts of it.\n§GThe Republicans§! who wish for a strong and united republic.\n§GThe Henrists§! who wish to restore a monarch to the throne. Citing the liberal beliefs of Crown Prince Henri and the monarchs purpose as a stabilizing factor, they wish to return us to a monarchy but this time Parliament will have all the power.;x;
101237D;Representatives from all over the nation have gathered in Brussels to partake in the drafting of the new constitution. The Dictatorship that was neccesary to protect the revolution from reactionary forces has served it's purpose excellently, but we no longer have a need for it. It is being dismantled in favor of a new government, formed on the basis of democracy, liberty and equality. The convention features people holding a variety of views, nationalists and federalists, liberals and moderate conservatives, monarchists and republicans. The convention is mostly split between two camps, §GThe Republicans§! who wish for a strong and united republic, arguing that the monarchy was the cause for all our problems, and §GThe Henrists§! who wish to restore a monarch to the throne. Citing the liberal beliefs of Crown Prince Henri and the monarchs purpose as a stabilizing factor, they wish to restore the monarchy, claiming that the issue was King Charles XI being a hardline absolutist.;x;
ltr_constitutional_convention_title;The Constitutional Convention;x;
ltr_constitutional_convention_desc;With the Revolution triumphant and the counterrevolutionary forces defeated we are now finally in a stable enough position to draft our new constitution.;x;
wef_constitutional_convention_title;The Constitutional Convention;x;
wef_constitutional_convention_desc;With the Revolution triumphant and the counterrevolutionary forces defeated we are now finally in a stable enough position to draft our new constitution.;x;
eaf_constitutional_convention_title;The Constitutional Convention;x;
eaf_constitutional_convention_desc;With the Revolution triumphant and the counterrevolutionary forces defeated we are now finally in a stable enough position to draft our new constitution.;x;
ltr_form_eu_title;The Formation of a §BEuropean Union§!;x;
ltr_form_eu_desc;With the liberal winds that blew across the continent over the 19th century we have found ourselves in the unique position to lay the foundation of a continent-wide united republic, a federation that treats all Europeans as equals.;x;
lrb_core_net_title;Restore Order to the Netherlands;x;
lrb_core_net_desc;With the Dutch rebellion crushed we can finally restore order to the Dutch provinces;x;
lrb_core_wef_title;Restore Order to West Francia;X;
lrb_core_wef_desc;With the French parts of our nation brought back under our control we can finally restore order to our western holdings;x;
lrb_core_eaf_title;Restore Order to East Francia;x;
lrb_core_eaf_desc;With the Germanic parts of our nation brought back under our control we can finally restore order to our eastern holdings;x;
lrb_end_war_1_title;The End of the Anarchy;x;
lrb_end_war_1_desc;With all the seperatists movements crushed we can finally declare an end to the anarchy and to the civil war. §RMake sure to click all the "restore order" decisions before you press this decision, otherwise you will not get the cores.§!;x;
lrb_end_war_2_title;The Revolution Triumphant;x;
lrb_end_war_2_desc;With all the forces that remained loyal to the crown crushed we can finally declare an end to the civil war. The Revolution has triumphed!;x;
lrb_end_war_3_title;The Revolution Triumphant;x;
lrb_end_war_3_desc;With all the forces that remained loyal to the crown crushed we can finally declare an end to the civil war. The Revolution has triumphed!;x;
lrb_end_war_4_title;The Revolution Triumphant;x;
lrb_end_war_4_desc;With all the forces that remained loyal to the crown crushed we can finally declare an end to the civil war. The Revolution has triumphed!;x;
brg_king_end_war_title;The Revolution Crushed;x;
brg_king_end_war_desc;The Revolutionaries have been defeated. With their armies defeated and their seats of power seized we have sent the traitors running. While we must still catch all the fleeing traitors, the revolution will never threaten our rule again.;x;
